record_id,record_type,page,owning_showcase,media_id,source_file,cargo_freight_url,canonical_base_url,url_evidence,freight_id,filename,rendition,rendition_width_request_px,natural_width_px,natural_height_px,design_width_1440_css_px,design_height_1440_css_px,rendered_max_width_css_px,rendered_max_height_css_px,dpr_coverage,format,mime_type,transparency,poster_fallback,loading_priority,referenced,referenced_by,source_provenance_evidence,source_provenance_confidence,delivery_evidence_source,delivery_evidence_confidence,notes
e21d16a721ea10e25e12,email-link,home,site-shell,,cargo/home.html,"mailto:ocean@mmmmm.studio,alvis@mmmmm.studio","mailto:ocean@mmmmm.studio,alvis@mmmmm.studio",observed verbatim in the frozen Cargo draft bodycopy,,"ocean@mmmmm.studio,alvis@mmmmm.studio",not applicable,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,URI,not applicable,not applicable,not applicable,user navigation,true,home:a[href],exact canonical path captured in docs/audits/2026-07-20T175853-0400-round-80/local/source-manifest.tsv; delivered bodycopy in docs/audits/2026-07-20T175853-0400-round-80/cargo-draft/home.bodycopy.html,medium,docs/audits/2026-07-20T175853-0400-round-80/cargo-draft/home.bodycopy.html,high,
1d31e70f224bbe76121f,email-link,who,site-shell,,cargo/who.html,mailto:alvis@mmmmm.studio,mailto:alvis@mmmmm.studio,observed verbatim in the frozen Cargo draft bodycopy,,alvis@mmmmm.studio,not applicable,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,URI,not applicable,not applicable,not applicable,user navigation,true,who:a[href],exact canonical path captured in docs/audits/2026-07-20T175853-0400-round-80/local/source-manifest.tsv; delivered bodycopy in docs/audits/2026-07-20T175853-0400-round-80/cargo-draft/who.bodycopy.html,medium,docs/audits/2026-07-20T175853-0400-round-80/cargo-draft/who.bodycopy.html,high,
291c0a8f296847509b13,email-link,who,site-shell,,cargo/who.html,mailto:ocean@mmmmm.studio,mailto:ocean@mmmmm.studio,observed verbatim in the frozen Cargo draft bodycopy,,ocean@mmmmm.studio,not applicable,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,URI,not applicable,not applicable,not applicable,user navigation,true,who:a[href],exact canonical path captured in docs/audits/2026-07-20T175853-0400-round-80/local/source-manifest.tsv; delivered bodycopy in docs/audits/2026-07-20T175853-0400-round-80/cargo-draft/who.bodycopy.html,medium,docs/audits/2026-07-20T175853-0400-round-80/cargo-draft/who.bodycopy.html,high,
089d20eb8785dabf1ab4,email-link,who,site-shell,,cargo/who.html,"mailto:ocean@mmmmm.studio,alvis@mmmmm.studio","mailto:ocean@mmmmm.studio,alvis@mmmmm.studio",observed verbatim in the frozen Cargo draft bodycopy,,"ocean@mmmmm.studio,alvis@mmmmm.studio",not applicable,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,URI,not applicable,not applicable,not applicable,user navigation,true,who:a[href],exact canonical path captured in docs/audits/2026-07-20T175853-0400-round-80/local/source-manifest.tsv; delivered bodycopy in docs/audits/2026-07-20T175853-0400-round-80/cargo-draft/who.bodycopy.html,medium,docs/audits/2026-07-20T175853-0400-round-80/cargo-draft/who.bodycopy.html,high,
0889ab1fb6c019f9eb73,email-link,write,site-shell,,cargo/write.html,"mailto:ocean@mmmmm.studio,alvis@mmmmm.studio","mailto:ocean@mmmmm.studio,alvis@mmmmm.studio",observed verbatim in the frozen Cargo draft bodycopy,,"ocean@mmmmm.studio,alvis@mmmmm.studio",not applicable,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,URI,not applicable,not applicable,not applicable,user navigation,true,write:a[href],exact canonical path captured in docs/audits/2026-07-20T175853-0400-round-80/local/source-manifest.tsv; delivered bodycopy in docs/audits/2026-07-20T175853-0400-round-80/cargo-draft/write.bodycopy.html,medium,docs/audits/2026-07-20T175853-0400-round-80/cargo-draft/write.bodycopy.html,high,
c82dc8e544aa9282b00e,embed,home,montran,montran-01,work/montran-direct-pdf-v10-src/montran-booklet-direct-pdf-v17.html,https://freight.cargo.site/m/U3034412351395654863674388559673/montran-booklet-direct-pdf-v17.html?pdf=https%3A%2F%2Ffreight.cargo.site%2Ft%2Foriginal%2Fi%2FP3028590574867085520722012452665%2Fmontran_sustainability-report_2025_v4-web.pdf,https://freight.cargo.site/m/U3034412351395654863674388559673/montran-booklet-direct-pdf-v17.html,observed verbatim in the captured bodycopy dependency table,U3034412351395654863674388559673,montran-booklet-direct-pdf-v17.html,embed,,unknown,unknown,1176,504,2090.656,896,unknown (rendered maximum measured; decoded source size unavailable),html,text/html,not applicable,none,lazy,true,home:iframe[data-src]; home:iframe[data-src]/embed,docs/audits/2026-07-20T175853-0400-round-80/local/embed-manifest.json: embed source path matched remote SHA-256 in frozen Phase 1 evidence,high,docs/audits/2026-07-20T175853-0400-round-80/public/public-bodycopy-dependencies.tsv; docs/audits/2026-07-20T175853-0400-round-80/freight/asset-manifest.csv,high,embed source path matched remote SHA-256 in frozen Phase 1 evidence; rendered maxima imported from audit/assets/rendered-media-measurements.json
1ff8ceb83af97c4de78f,embed,home,touchbaes,touchbaes-05,Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/touchbaes-sticker-game-v10.html,https://freight.cargo.site/m/E3031754669080377521238157342521/touchbaes-sticker-game-v10.html,https://freight.cargo.site/m/E3031754669080377521238157342521/touchbaes-sticker-game-v10.html,observed verbatim in the captured bodycopy dependency table,E3031754669080377521238157342521,touchbaes-sticker-game-v10.html,embed,,unknown,unknown,unknown,unknown,1457.766,1230,unknown (rendered maximum measured; decoded source size unavailable),html,text/html,not applicable,none,near,true,home:iframe[data-src]; home:iframe[data-src]/embed,docs/audits/2026-07-20T175853-0400-round-80/local/embed-manifest.json: embed source path matched remote SHA-256 in frozen Phase 1 evidence,high,docs/audits/2026-07-20T175853-0400-round-80/public/public-bodycopy-dependencies.tsv; docs/audits/2026-07-20T175853-0400-round-80/freight/asset-manifest.csv,high,embed source path matched remote SHA-256 in frozen Phase 1 evidence; rendered maxima imported from audit/assets/rendered-media-measurements.json
1f65fd342cdfbd8155d0,embed,home,v7,v7-01,Portfolio assets/_for cargo deployment/V7/coffee cup 3d/coffee-cup-bundle.html,https://freight.cargo.site/m/Z3031274916472238420423367767865/coffee-cup-bundle.html,https://freight.cargo.site/m/Z3031274916472238420423367767865/coffee-cup-bundle.html,observed verbatim in the captured bodycopy dependency table,Z3031274916472238420423367767865,coffee-cup-bundle.html,embed,,unknown,unknown,307,307,593.906,593.906,unknown (rendered maximum measured; decoded source size unavailable),html,text/html,not applicable,poster=https://freight.cargo.site/t/original/i/F3031232775678612026122211735353/v7-cup-poster.png,critical,true,home:iframe[data-src]; home:iframe[data-src]/embed,docs/audits/2026-07-20T175853-0400-round-80/local/embed-manifest.json: embed source path matched remote SHA-256 in frozen Phase 1 evidence,high,docs/audits/2026-07-20T175853-0400-round-80/public/public-bodycopy-dependencies.tsv; docs/audits/2026-07-20T175853-0400-round-80/freight/asset-manifest.csv,high,embed source path matched remote SHA-256 in frozen Phase 1 evidence; rendered maxima imported from audit/assets/rendered-media-measurements.json
ebe92f9ced351e4d5507,embed-inline-image,home,v7,v7-01 (inline cup texture),Portfolio assets/_for cargo deployment/V7/coffee cup 3d/assets/cup-wrap.png,inline://Z3031274916472238420423367767865/cup-wrap.png#sha256=1c584551776b366770de2a51c2beaa7a79fcd5c015e40a913ce2cafc23826ecf,inline://Z3031274916472238420423367767865/cup-wrap.png#sha256=1c584551776b366770de2a51c2beaa7a79fcd5c015e40a913ce2cafc23826ecf,SHA-addressed identity for a data URI decoded from the active hashed embed bundle,,cup-wrap.png,inline data URI,,2110,1244,unknown,unknown,unknown,unknown,unknown,png,image/png,no,none,embed-critical,true,home:v7-01 iframe inline/cup texture,audit/assets/frozen-embed-dependencies.json: one-time exact decoded-byte match to the inline data URI,high,audit/assets/frozen-embed-dependencies.json; parent bundle SHA-256 ee09e9c282d928f8968b91e1301bc0ba2639102a27c1bf1cd40483ab1b609d0a from docs/audits/2026-07-20T175853-0400-round-80/local/embed-manifest.json,high,decoded bytes=72593; decoded SHA-256=1c584551776b366770de2a51c2beaa7a79fcd5c015e40a913ce2cafc23826ecf; one-time exact decoded-byte match to the inline data URI
bbe9d137e6b022ee2858,external-link,home,eviive,,cargo/home.html,https://eviive.ch,https://eviive.ch,observed verbatim in the frozen Cargo draft bodycopy,,eviive.ch,not applicable,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,URI,not applicable,not applicable,not applicable,user navigation,true,home:a[href],exact canonical path captured in docs/audits/2026-07-20T175853-0400-round-80/local/source-manifest.tsv; delivered bodycopy in docs/audits/2026-07-20T175853-0400-round-80/cargo-draft/home.bodycopy.html,medium,docs/audits/2026-07-20T175853-0400-round-80/cargo-draft/home.bodycopy.html,high,
