media_id,band,container_tag,media_tag,slot,shape_policy,fit,mobile_profile,asset_w,asset_h,source,poster,mp4_fallback,loading,alt,title,autoplay,loop,muted,playsinline
eviive-01,eviive,div,video,,crop,contain,standard,432,432,https://freight.cargo.site/t/original/i/W3028308513949149028916421769017/Logo-symbol_Animation_EVIIVE-cargo-h264.mp4,https://freight.cargo.site/t/original/i/A3031230889628157697836525860665/01-Logo-symbol_Animation_EVIIVE-cargo-h264-poster.jpg,,,,,True,True,True,True
eviive-02,eviive,div,video,,crop,contain,standard,279,279,https://freight.cargo.site/t/original/i/F3022813868419761244926460344121/6x-images-for-MMS_EVIIVE_Image-5-web-smooth-hq-white-bg.mp4,https://freight.cargo.site/t/original/i/V3031232001837698134006521444153/02-6x-images-for-MMS_EVIIVE_Image-5-web-smooth-hq-white-bg-poster.jpg,,,,,True,True,True,True
eviive-03,eviive,div,img,,crop,contain,standard,896,504,https://freight.cargo.site/w/3600/q/90/i/T3029359532540439699946090313529/eviive-sequence-3-retina.jpg,,,eager,,,False,False,False,False
eviive-04,eviive,div,img,,crop,contain,standard,443,372,https://freight.cargo.site/w/886/q/85/i/J3028246254011184458481990678329/eviive-4.jpg,,,lazy,,,False,False,False,False
eviive-05,eviive,div,video,,crop,contain,standard,558,372,https://freight.cargo.site/t/original/i/B3028308528632757311589224855353/Final_Navy_EVIIVE-Logo-Animation_Jul-2026-web-hq-1800-h264.mp4,https://freight.cargo.site/t/original/i/B3031232030079663310855844968249/03-Final_Navy_EVIIVE-Logo-Animation_Jul-2026-web-hq-1800-h264-poster.jpg,,,,,True,True,True,True
eviive-06,eviive,div,img,,crop,contain,standard,670,377.593,https://freight.cargo.site/w/2800/q/90/i/X3029359532558886444019799865145/eviive-sequence-6-retina.jpg,,,lazy,,,False,False,False,False
v7-01,v7,iframe,iframe,,interactive,none,embed,307,307,https://freight.cargo.site/m/Z3031274916472238420423367767865/coffee-cup-bundle.html,https://freight.cargo.site/t/original/i/F3031232775678612026122211735353/v7-cup-poster.png,,lazy,,V7 rotating coffee cup,False,False,False,False
v7-02,v7,div,img,,crop,contain,standard,336,504,https://freight.cargo.site/w/680/q/85/i/R3025118182046317275766954964793/v7-postcard.jpg,,,lazy,,,False,False,False,False
v7-03,v7,div,video,v7-ooh-train-video,crop,contain,standard,759,504,https://freight.cargo.site/t/original/i/X3028308543445492802777994803001/OOH_Train-Station_Video-Slide-cargo-small-h264.mp4,https://freight.cargo.site/t/original/i/B3031232058413862208073716250425/04-OOH_Train-Station_Video-Slide-cargo-small-h264-poster.jpg,,,,,True,True,True,True
v7-04,v7,div,video,v7-freetothink-motion,crop,contain,panorama,788,197,https://freight.cargo.site/t/original/i/B3028308558313568526187893405497/Freetothink_motionthecity_260303-upscaled-4x-retina-h264.mp4,https://freight.cargo.site/t/original/i/E3031232087873312493787870181177/05-Freetothink_motionthecity_260303-upscaled-4x-retina-h264-poster.jpg,,,,,True,True,True,True
v7-05,v7,div,video,v7-video-truck,crop,contain,standard,672,504,https://freight.cargo.site/t/original/i/P3028308573144750761450372904761/Mockup_Video-Truck_V7-cargo-small-h264.mp4,https://freight.cargo.site/t/original/i/J3031232116853147433585575769913/06-Mockup_Video-Truck_V7-cargo-small-h264-poster.jpg,,,,,True,True,True,True
v7-06,v7,div,img,,crop,contain,standard,281,374,https://freight.cargo.site/w/1122/q/90/i/A3029359532632673420314638071609/v7-sequence-6-retina.jpg,,,lazy,,,False,False,False,False
touchbaes-01,touchbaes,div,video,,crop,contain,standard,417,417,https://freight.cargo.site/t/original/i/V3028308587975932996712852404025/3d-animation_social-nov-8-cargo-under-1mb-1080-h264.mp4,https://freight.cargo.site/t/original/i/P3031232147548529572238269658937/07-3d-animation_social-nov-8-cargo-under-1mb-1080-h264-poster.jpg,,,,,True,True,True,True
touchbaes-02,touchbaes,div,video,,artwork,contain,standard,278,494,https://freight.cargo.site/t/original/i/C3022812573698134943474161071929/8bit-girls-final-alpha-1080.webm,https://freight.cargo.site/t/original/i/L3031232176454577535741137041209/08-8bit-girls-final-alpha-1080-poster.png,https://freight.cargo.site/t/original/i/K3028483048076456848870970275641/8bit-girls-alpha-v2.mp4,,,,True,True,True,True
touchbaes-03,touchbaes,div,img,,crop,contain,standard,403,504,https://freight.cargo.site/w/840/q/85/i/J3022057905776630719280532993849/touchbaes-booking.jpg,,,lazy,touchbaes booking poster,,False,False,False,False
touchbaes-04,touchbaes,div,img,,crop,contain,standard,262.5,606.5,https://freight.cargo.site/w/525/q/85/i/Q3028246600809973044221561059129/touchbaes-sticker-v2.png,,,lazy,touchbaes sticker sheet,,False,False,False,False
touchbaes-05,touchbaes,iframe,iframe,,interactive,none,embed,,,https://freight.cargo.site/m/E3031754669080377521238157342521/touchbaes-sticker-game-v10.html,,,lazy,,touchbaes sticker game,False,False,False,False
touchbaes-06,touchbaes,div,video,,crop,contain,standard,372,372,https://freight.cargo.site/t/original/i/K3022811110465501528685107787577/video-small.mp4,https://freight.cargo.site/t/original/i/Y3031232205692666892570776352569/09-video-small-poster.jpg,,,,,True,True,True,True
touchbaes-07,touchbaes,div,img,,crop,contain,standard,558,372,https://freight.cargo.site/w/2400/q/90/i/Y3029359532614226676240928519993/touchbaes-last-retina.jpg,,,lazy,touchbaes business card mockup,,False,False,False,False
mandy-01,mandy,div,video,mandy-sataic-video,crop,contain,standard,675,900,https://freight.cargo.site/t/original/i/S3028308617638297467237811402553/SATAIC-transformation-Comp-cargo-small-h264.mp4,https://freight.cargo.site/t/original/i/C3031232234580268111999934183225/10-SATAIC-transformation-Comp-cargo-small-h264-poster.jpg,,,,,True,True,True,True
mandy-02,mandy,div,video,mandy-hf-alpha-video,artwork,contain,wide,779,504,https://freight.cargo.site/t/original/i/V3025158174716596286590825314105/hf_20260708_032138_2ca7e18b-6113-498e-9b3e-603f187014fb-alpha-small-ratio-1.5466.webm,https://freight.cargo.site/t/original/i/N3031232263191168170323448739641/11-hf_20260708_032138_2ca7e18b-6113-498e-9b3e-603f187014fb-alpha-small-ratio-1.5466-poster.png,https://freight.cargo.site/t/original/i/E3028483072094117632840806479673/mandy-hf-alpha-v2.mp4,,,,True,True,True,True
mandy-03,mandy,div,img,,crop,contain,standard,377,504,https://freight.cargo.site/w/752/q/85/i/A3025291300404464182587126495033/mandy-photo1-fix.jpg,,,lazy,,,False,False,False,False
mandy-04,mandy,div,img,,crop,contain,standard,504,504,https://freight.cargo.site/w/1000/q/85/i/M3025118651718868136485848659769/mandy-tee.jpg,,,lazy,,,False,False,False,False
mandy-05,mandy,div,img,,crop,contain,standard,612,344,https://freight.cargo.site/w/1240/q/85/i/E3025118669852017560942337898297/mandy-photo-2.jpg,,,lazy,,,False,False,False,False
mandy-06,mandy,div,img,,crop,contain,standard,344,344,https://freight.cargo.site/w/700/q/85/i/G3025118686970596061344801797945/mandy-ig.jpg,,,lazy,,,False,False,False,False
mandy-07,mandy,div,img,mandy-mewmew-element,artwork,contain,standard,335,200,https://freight.cargo.site/w/703/q/85/i/I3025317449180697499940409620281/mandy-mewmew-v4.png,,,lazy,,,False,False,False,False
loop-01,loop,div,img,,crop,contain,loop-cover,766,504,https://freight.cargo.site/w/1530/q/85/i/H3025362994634537346592378763065/loop-cover.jpg,,,lazy,,,False,False,False,False
loop-02,loop,div,video,,crop,contain,standard,504,504,https://freight.cargo.site/t/original/i/K3028308647282215193689060849465/v3_Loop-Wrapped_Animated-illustration-cargo-small-h264.mp4,https://freight.cargo.site/t/original/i/Y3031232291119538697919709886265/12-v3_Loop-Wrapped_Animated-illustration-cargo-small-h264-poster.jpg,,,,,True,True,False,True
loop-03,loop,div,video,,crop,contain,standard,472,354,https://freight.cargo.site/t/original/i/S3028308662094950684877830797113/Loop-Card_3D-Animation-cargo-h264.mp4,https://freight.cargo.site/t/original/i/P3031232318789654808484037310265/13-Loop-Card_3D-Animation-cargo-h264-poster.jpg,,,,,True,True,False,True
loop-04,loop,div,img,,crop,contain,standard,579,504,https://freight.cargo.site/w/1157/q/85/i/U3026333005972541800612566185785/loop-image-2-v2.jpg,,,lazy,,,False,False,False,False
loop-05,loop,div,img,,crop,contain,standard,290,252,https://freight.cargo.site/w/1374/q/90/i/K3029442176001478510919090222905/loop-sequence-last-retina.jpg,,,lazy,,,False,False,False,False
montran-01,montran,iframe,iframe,montran-booklet,interactive,none,booklet-wide,1176,504,https://freight.cargo.site/m/U3034412351395654863674388559673/montran-booklet-direct-pdf-v17.html?pdf=https%3A%2F%2Ffreight.cargo.site%2Ft%2Foriginal%2Fi%2FP3028590574867085520722012452665%2Fmontran_sustainability-report_2025_v4-web.pdf,,,lazy,,Montran sustainability report booklet,False,False,False,False
montran-02,montran,div,img,,crop,contain,standard,733,504,https://freight.cargo.site/w/3200/q/90/i/J3029442176019925254992799774521/montran-sequence-2-retina.jpg,,,lazy,,,False,False,False,False
montran-03,montran,div,video,montran-icon-video,crop,contain,standard,400,400,https://freight.cargo.site/t/original/i/C3026651793472485332597365847865/montran-icon-animation.mp4,https://freight.cargo.site/t/original/i/G3031232346146176269795302356793/14-montran-icon-animation-poster.jpg,,,,,True,True,False,True
montran-04,montran,div,img,,artwork,contain,standard,690,442,https://freight.cargo.site/w/3200/q/90/i/H3029359532577333188093509416761/map-generator-retina.png,,,lazy,,,False,False,False,False
montran-05,montran,div,video,montran-csd-video,crop,contain,standard,403,504,https://freight.cargo.site/t/original/i/E3026651808137646871196459382585/Montran_CSD_RS_EN-noaudio.mp4,https://freight.cargo.site/t/original/i/Y3031232375033777489224460187449/15-Montran_CSD_RS_EN-noaudio-poster.jpg,,,,,True,True,False,True
