path	role	git_state	content_source	provider_state	bytes	sha256	mtime_utc
Portfolio assets/_for cargo deployment/V7/coffee cup 3d/coffee-cup-bundle.html	v7_active_bundle	ignored	working file	-	780341	ee09e9c282d928f8968b91e1301bc0ba2639102a27c1bf1cd40483ab1b609d0a	2026-07-12T21:59:11Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/.impeccable.md	touchbaes_source_or_prototype	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed,hidden	910	871741189bc2f2b76126a470343fe9659ad858357c2782e163d5e3f1c5d678cd	2026-07-07T03:15:30Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/README.md	touchbaes_source_or_prototype	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	1309	d5a54545ab2358f5e77782977f3d9f96be8cd523511f4af9af9a2359958ba67d	2026-07-07T03:20:56Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/assets/optimized/scene.webp	touchbaes_source_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	280104	c27c1290010a5e76556f0237ab74c2a279a1dcf6b9b536b3609fcef39a291815	2026-07-07T03:09:41Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/assets/optimized/sticker-cat-placed.webp	touchbaes_source_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	14664	c452588b6727ee5614ac14a43d88bec213061a9b4531c967e2b6e99b4c522fe9	2026-07-07T03:09:41Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/assets/optimized/sticker-cat.webp	touchbaes_source_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	16914	343cef8265a60566386325ed188ed3c377f13c299264b68813373f666b0f471e	2026-07-07T03:09:41Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/assets/optimized/sticker-plant.webp	touchbaes_source_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	58284	6233aa5fcf517d4d437e7365c9e75ec895c4175ce79c5ee5cd55110860a7a8e7	2026-07-07T03:09:41Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/assets/optimized/sticker-right-bottles.webp	touchbaes_source_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	20908	c48edb324bdc10730e592172f20cb095da95bfb30aaade20cd50bea2572030fa	2026-07-07T03:09:41Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/assets/optimized/sticker-touchbaes.webp	touchbaes_source_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	37220	93f9dfcb1cacb5b48cb208b5d229d2cf1abeea6e61247b82d54c6ef9d2380ad3	2026-07-07T03:09:41Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/assets/optimized/tweezer-close.webp	touchbaes_source_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	20622	ace76483773cfba622b42ad8dfc575c8f80cea400e580b0ce9733b88d01cc3e8	2026-07-07T03:09:41Z
