page	kind	tag	attribute	url	host	freight_id	filename	variant
home	embed	iframe	data-src	https://freight.cargo.site/m/E3031754669080377521238157342521/touchbaes-sticker-game-v10.html	freight.cargo.site	E3031754669080377521238157342521	touchbaes-sticker-game-v10.html	embed
home	embed	iframe	data-src	https://freight.cargo.site/m/U3034412351395654863674388559673/montran-booklet-direct-pdf-v17.html?pdf=https%3A%2F%2Ffreight.cargo.site%2Ft%2Foriginal%2Fi%2FP3028590574867085520722012452665%2Fmontran_sustainability-report_2025_v4-web.pdf	freight.cargo.site	U3034412351395654863674388559673	montran-booklet-direct-pdf-v17.html	embed
home	embed	iframe	data-src	https://freight.cargo.site/m/Z3031274916472238420423367767865/coffee-cup-bundle.html	freight.cargo.site	Z3031274916472238420423367767865	coffee-cup-bundle.html	embed
home	image	iframe	data-poster	https://freight.cargo.site/t/original/i/F3031232775678612026122211735353/v7-cup-poster.png	freight.cargo.site	F3031232775678612026122211735353	v7-cup-poster.png	original
home	image	img	src	https://freight.cargo.site/t/original/i/K3028244189709842145940907538233/dg-image2.gif	freight.cargo.site	K3028244189709842145940907538233	dg-image2.gif	original
home	image	img	src	https://freight.cargo.site/t/original/i/M3028243870784083855576469649209/wtw-image6.gif	freight.cargo.site	M3028243870784083855576469649209	wtw-image6.gif	original
home	image	img	src	https://freight.cargo.site/t/original/i/X3028243859623803690982190921529/wtw-image1.gif	freight.cargo.site	X3028243859623803690982190921529	wtw-image1.gif	original
home	image	img	src	https://freight.cargo.site/w/1000/q/85/i/M3025118651718868136485848659769/mandy-tee.jpg	freight.cargo.site	M3025118651718868136485848659769	mandy-tee.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/1008/q/85/i/J3027050938125560435919628580665/curate-hf.jpg	freight.cargo.site	J3027050938125560435919628580665	curate-hf.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/1046/q/85/i/L3027050213316092291723926484793/kelly-sgc30-5.jpg	freight.cargo.site	L3027050213316092291723926484793	kelly-sgc30-5.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/1046/q/85/i/L3027050230656031721010905003833/kelly-sgc30-1.jpg	freight.cargo.site	L3027050230656031721010905003833	kelly-sgc30-1.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/1046/q/85/i/N3027049860337644441291656312633/kelly-sgc30-6.jpg	freight.cargo.site	N3027049860337644441291656312633	kelly-sgc30-6.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/1046/q/85/i/R3027049892102937736219504195385/kelly-sgc30-3.jpg	freight.cargo.site	R3027049892102937736219504195385	kelly-sgc30-3.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/1088/q/85/i/K3028247312208658246830419130169/dg-cover.jpg	freight.cargo.site	K3028247312208658246830419130169	dg-cover.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/1088/q/85/i/Q3028246916120169496138926831417/purelove-2.jpg	freight.cargo.site	Q3028246916120169496138926831417	purelove-2.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/1122/q/90/i/A3029359532632673420314638071609/v7-sequence-6-retina.jpg	freight.cargo.site	A3029359532632673420314638071609	v7-sequence-6-retina.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/1157/q/85/i/U3026333005972541800612566185785/loop-image-2-v2.jpg	freight.cargo.site	U3026333005972541800612566185785	loop-image-2-v2.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/1240/q/85/i/E3025118669852017560942337898297/mandy-photo-2.jpg	freight.cargo.site	E3025118669852017560942337898297	mandy-photo-2.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/1254/q/85/i/I3028246618297486426098215991097/purelove-1.jpg	freight.cargo.site	I3028246618297486426098215991097	purelove-1.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/1374/q/90/i/K3029442176001478510919090222905/loop-sequence-last-retina.jpg	freight.cargo.site	K3029442176001478510919090222905	loop-sequence-last-retina.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/1494/q/85/i/C3028244178623348957641467017017/wtw-lanyard.png	freight.cargo.site	C3028244178623348957641467017017	wtw-lanyard.png	transformed
home	image	img	src	https://freight.cargo.site/w/1530/q/85/i/H3025362994634537346592378763065/loop-cover.jpg	freight.cargo.site	H3025362994634537346592378763065	loop-cover.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/1746/q/85/i/S3028289855602474049842539181881/purelove-4-v2.png	freight.cargo.site	S3028289855602474049842539181881	purelove-4-v2.png	transformed
home	image	img	src	https://freight.cargo.site/w/1788/q/85/i/A3028247346261347806898251413305/dg-image4.jpg	freight.cargo.site	A3028247346261347806898251413305	dg-image4.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/2200/q/90/i/K3029359532521992955872380761913/curate-last-retina.jpg	freight.cargo.site	K3029359532521992955872380761913	curate-last-retina.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/2400/q/90/i/Y3029359532614226676240928519993/touchbaes-last-retina.jpg	freight.cargo.site	Y3029359532614226676240928519993	touchbaes-last-retina.jpg	transformed
home	image	img	src	https://freight.cargo.site/w/2782/q/90/i/M3029359532595779932167218968377/montran-last-retina.jpg	freight.cargo.site	M3029359532595779932167218968377	montran-last-retina.jpg	transformed
